index, 0000000096, temp, 49.200, firstframe, 006.011, 16frames_time, 100.580, imgproc_time, 084.911, 
index, 0000000097, temp, 49.200, firstframe, 001.956, 16frames_time, 096.544, imgproc_time, 086.894, 
index, 0000000098, temp, 49.200, firstframe, 003.904, 16frames_time, 099.098, imgproc_time, 085.890, 
index, 0000000099, temp, 49.200, firstframe, 006.790, 16frames_time, 101.610, imgproc_time, 084.947, 
index, 0000000100, temp, 49.200, firstframe, 001.954, 16frames_time, 096.934, imgproc_time, 085.888, 
index, 0000000101, temp, 49.200, firstframe, 004.881, 16frames_time, 099.519, imgproc_time, 086.951, 
index, 0000000102, temp, 49.200, firstframe, 006.832, 16frames_time, 101.604, imgproc_time, 086.864, 
index, 0000000103, temp, 49.200, firstframe, 002.865, 16frames_time, 097.642, imgproc_time, 084.950, 
index, 0000000104, temp, 49.200, firstframe, 005.216, 16frames_time, 099.781, imgproc_time, 085.916, 
index, 0000000105, temp, 49.200, firstframe, 001.863, 16frames_time, 095.931, imgproc_time, 086.867, 
index, 0000000106, temp, 49.200, firstframe, 002.930, 16frames_time, 097.392, imgproc_time, 084.915, 
index, 0000000107, temp, 49.200, firstframe, 004.883, 16frames_time, 099.068, imgproc_time, 085.890, 
index, 0000000108, temp, 49.200, firstframe, 001.863, 16frames_time, 095.794, imgproc_time, 083.935, 
index, 0000000109, temp, 49.200, firstframe, 003.878, 16frames_time, 098.287, imgproc_time, 085.888, 
index, 0000000110, temp, 49.200, firstframe, 005.986, 16frames_time, 101.101, imgproc_time, 083.939, 
index, 0000000111, temp, 49.200, firstframe, 002.960, 16frames_time, 097.182, imgproc_time, 082.963, 
index, 0000000112, temp, 49.200, firstframe, 004.910, 16frames_time, 099.305, imgproc_time, 085.891, 
index, 0000000113, temp, 49.200, firstframe, 001.955, 16frames_time, 095.303, imgproc_time, 084.924, 
index, 0000000114, temp, 49.200, firstframe, 003.812, 16frames_time, 097.675, imgproc_time, 084.915, 
index, 0000000115, temp, 49.200, firstframe, 006.008, 16frames_time, 100.645, imgproc_time, 083.936, 
index, 0000000116, temp, 49.200, firstframe, 002.007, 16frames_time, 096.276, imgproc_time, 084.913, 
index, 0000000117, temp, 49.200, firstframe, 003.907, 16frames_time, 098.057, imgproc_time, 084.914, 
index, 0000000118, temp, 49.200, firstframe, 005.851, 16frames_time, 099.882, imgproc_time, 082.994, 
index, 0000000119, temp, 49.200, firstframe, 005.842, 16frames_time, 096.735, imgproc_time, 083.937, 
index, 0000000120, temp, 49.200, firstframe, 003.906, 16frames_time, 098.671, imgproc_time, 082.960, 
index, 0000000121, temp, 49.200, firstframe, 006.833, 16frames_time, 101.206, imgproc_time, 086.864, 
index, 0000000122, temp, 49.200, firstframe, 001.883, 16frames_time, 096.821, imgproc_time, 083.970, 
index, 0000000123, temp, 49.200, firstframe, 004.880, 16frames_time, 099.128, imgproc_time, 086.861, 
index, 0000000124, temp, 49.200, firstframe, 006.994, 16frames_time, 101.486, imgproc_time, 085.889, 
index, 0000000125, temp, 49.200, firstframe, 002.929, 16frames_time, 098.245, imgproc_time, 083.973, 
index, 0000000126, temp, 49.200, firstframe, 005.980, 16frames_time, 100.260, imgproc_time, 083.931, 
index, 0000000127, temp, 49.200, firstframe, 001.918, 16frames_time, 096.970, imgproc_time, 083.939, 
index, 0000000128, temp, 49.200, firstframe, 005.084, 16frames_time, 099.032, imgproc_time, 083.978, 
index, 0000000129, temp, 49.200, firstframe, 005.957, 16frames_time, 101.425, imgproc_time, 084.939, 
index, 0000000130, temp, 49.200, firstframe, 003.002, 16frames_time, 096.801, imgproc_time, 085.889, 
index, 0000000131, temp, 49.200, firstframe, 004.880, 16frames_time, 099.487, imgproc_time, 085.888, 
index, 0000000132, temp, 49.200, firstframe, 002.889, 16frames_time, 095.979, imgproc_time, 084.939, 
